image_path,crop,disease,label
datasets\Tomato_EarlyBlight\61f57acc-088f-45e0-b0b5-860120082ae9___RS_Erly.B 7388.JPG,tomato,earlyblight,1
datasets\Tomato_EarlyBlight\7bab9b53-f608-4f3f-8325-d730d846b3d9___RS_Erly.B 7695.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\5df79085-2c00-41d6-ac0f-33a831a16d89___RS_HL 9634.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\18570bd8-1b60-4773-b618-ef34fe3f602f___JR_HL 5915.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\35f2cedd-7967-4ae8-9e69-c86a8cd0c20d___JR_HL 7579.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\14473c6e-c261-43c0-baac-25bb228ce5d9___JR_HL 7811.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\e489dca9-08c5-4765-8b2e-8e690c38597d___JR_B.Spot 8899.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\73cc02ea-96ad-4e02-8240-b599cf1e0384___RS_HL 9839.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\8e0378a5-e4c7-406a-bc7d-b3844a7b8811___JR_B.Spot 8868.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_BacterialSpot\fa803f29-9142-437d-9592-a205349ac589___JR_B.Spot 3123.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\f3c34e2d-5b85-44fc-96b6-e23cbae88046___JR_HL 7682.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\2accd1d7-e6b4-4114-9f8b-11130d583320___JR_HL 8841.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\460909e5-dd8c-48f9-9a06-6daa2b3d0529___RS_HL 0341.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\277eb282-4e80-4da6-8efe-740354fa368e___JR_HL 5995.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\083426c2-0042-4788-91ea-b7d93395c24a___RS_HL 9929.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\99fc2c08-25c4-47a6-9e0f-a7b8c4f3e683___JR_HL 7831.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\983a04ad-2cc6-4d78-9365-a67012b4ffdc___RS_Erly.B 7661.JPG,tomato,earlyblight,1
datasets\Tomato_EarlyBlight\553d53a5-19f3-433e-9805-d3bf5a3804b1___RS_Erly.B 7580.JPG,tomato,earlyblight,1
datasets\Tomato_EarlyBlight\2b5bebdd-3af4-41ca-b206-efc1a141e71d___RS_Erly.B 6363.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\1c665f14-938a-4563-8613-031a2cb04453___JR_HL 5815.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\56c2ec78-14d2-4445-be5d-77a8db483e2a___NREC_B.Spot 1803.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\4959798b-5c9b-4f8e-b0a0-3778259614b1___CG1.JPG,tomato,healthy,0
datasets\Tomato_EarlyBlight\618b7af9-69ff-4a97-a738-984fec04f25b___RS_Erly.B 7527.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\ff5d7b23-41d6-43ff-8bf5-d7ddf13a412b___JR_HL 8675.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\3ddc56a6-7b13-43ae-841a-c6f6818d001b___JR_B.Spot 3190.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\01d03cb9-4505-458c-a6dc-648dedccd71a___JR_HL 8474.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\89e0c6b5-8812-4a16-92eb-e63401b50051___RS_Erly.B 9589.JPG,tomato,earlyblight,1
datasets\BellPepper_BacterialSpot\b45fccde-f383-4741-a19a-fb48dc215190___JR_B.Spot 3098.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_BacterialSpot\10af9ff3-16c3-4cb0-8af0-71d3b8442206___NREC_B.Spot 9090.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\f34f9754-9f8f-4f0e-952a-1fedcb96a727___JR_HL 7594.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\07aae897-44cd-4a0c-9471-1bd6234135b0___JR_HL 8745.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\d3522fcb-a325-48b2-8b37-881a56e190e4___NREC_B.Spot 9047.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\973c9431-f521-462d-82fa-442196087ca8___GH_HL Leaf 204.1.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\fb974d64-1b7a-4d68-8ddb-1b8ed3011f25___JR_HL 5899.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\2def1cb7-36cf-4aed-a8e5-ad7864721a44___JR_B.Spot 8915.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_BacterialSpot\2ca511f9-951d-4f34-89af-25fd1a609584___NREC_B.Spot 9138.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\efb220da-f27d-4619-b2c0-d1242dde2933___JR_HL 6011.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\80c3b18f-a436-47f7-9153-2a24197f6b69___RS_Erly.B 9593.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\0d515778-61ef-4f0b-ab54-75607c80220f___RS_HL 9745.JPG,tomato,healthy,0
datasets\Tomato_EarlyBlight\342d78c9-af97-4325-ad0f-0f12e0a206c2___RS_Erly.B 7406.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\3ca6e178-acee-4463-9d9f-aa1636eb9df6___RS_HL 0306.JPG,tomato,healthy,0
datasets\Tomato_Healthy\49291f4a-e689-4a59-8f40-60ee9f1aac26___RS_HL 9820.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\dc34f73a-daa6-4edb-a8e6-7db5ef8bf907___JR_HL 7967.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\5d0dec6f-047f-4049-b9fb-0d3842d6a5cb___JR_HL 8530.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\29ff6f63-9b09-4833-8d76-00af9c7b6495___GH_HL Leaf 320.2.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\ba9e7d81-876f-4c05-9578-ddd45d8b3526___JR_B.Spot 3330.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_BacterialSpot\a877ca65-3824-4d1a-a438-a32be1beb7ad___NREC_B.Spot 1967.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\d1d360b8-26e7-413c-9863-e16d5087464d___JR_HL 7997.JPG,bellpepper,healthy,0
datasets\Potato_EarlyBlight\306c45ac-6f97-4b7e-9fad-1c8c39870138___RS_Early.B 7673.JPG,potato,earlyblight,1
datasets\BellPepper_BacterialSpot\2b562d10-5ccf-4f20-aadc-2e1480bd303e___JR_B.Spot 3256.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\1a0c4408-634e-4bd5-948d-e73ca5572976___RS_HL 0146.JPG,tomato,healthy,0
datasets\Tomato_Healthy\741595d0-322d-4711-9005-b1e39b9567c1___RS_HL 0491.JPG,tomato,healthy,0
datasets\Potato_EarlyBlight\12f7b8bd-7aab-48de-ba2e-d2562408542f___RS_Early.B 7386.JPG,potato,earlyblight,1
datasets\Tomato_EarlyBlight\bd0f06fb-1f9a-4de8-8c96-926d312cea27___RS_Erly.B 7603.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\023563f1-a71a-433d-aefc-d6c7aef8e9eb___JR_HL 8067.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\0f56ffda-5d57-4a61-8f7f-37f22a02520a___JR_HL 8589.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\475f941c-242c-42e1-9149-ace60e32b931___NREC_B.Spot 9208.JPG,bellpepper,bacterialspot,1
datasets\Tomato_EarlyBlight\6b52f204-547d-47aa-926c-b9508a5e6cbc___RS_Erly.B 7434.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\6de912b6-f7e5-4980-be35-63ba2564d5d3___JR_HL 8059.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\4e6e9475-7cdb-443b-aacf-3e10d937e1a3___JR_HL 8290.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\d60c253c-b97e-4076-8eac-bae34e1bbdc9___RS_Erly.B 7749.JPG,tomato,earlyblight,1
datasets\Tomato_EarlyBlight\427229e9-359c-49c5-8dfd-b721a3802899___RS_Erly.B 7861.JPG,tomato,earlyblight,1
datasets\BellPepper_BacterialSpot\e80de14e-9d15-4dc6-b519-6d5af14ba216___JR_B.Spot 8835.JPG,bellpepper,bacterialspot,1
datasets\Tomato_EarlyBlight\bbd73cdc-a2e5-4740-9a66-7e59d0416f25___RS_Erly.B 7502.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\017a4026-813a-4983-887a-4052bb78c397___RS_HL 0218.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\c535f12e-99d3-4270-a383-3220e97a538c___JR_HL 8055.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\49b4fd49-ffc0-40c3-ad76-452b933d58c7___JR_HL 8267.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\24b7c39d-53c6-4a71-8dc0-83dff1a877d0___RS_HL 0465.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\0448a226-3d3a-494d-a026-a92b048689c7___JR_B.Spot 8897.JPG,bellpepper,bacterialspot,1
datasets\Tomato_EarlyBlight\533debcd-c993-4c11-8515-9ec280cdc023___RS_Erly.B 7389.JPG,tomato,earlyblight,1
datasets\Tomato_EarlyBlight\bcae6e76-f374-446e-b5c3-a7d18f1444f6___RS_Erly.B 7643.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\69338d8a-c618-41d4-b4ac-217feb224d71___JR_HL 8878.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\2fa6cd46-eb76-481e-b15a-44c858f705b3___RS_Erly.B 9532.JPG,tomato,earlyblight,1
datasets\Tomato_EarlyBlight\5fef7edb-3b8a-4f74-b980-493366ead004___RS_Erly.B 6476.JPG,tomato,earlyblight,1
datasets\BellPepper_BacterialSpot\7a901ea0-0ebe-41fa-9585-f74f6ce49d17___JR_B.Spot 8859.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\a53ba8f6-7a46-4d3b-b914-71c4d7d65f81___JR_HL 8314.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\de96e7a2-6de3-4699-9680-9eb4d4e215c8___RS_Erly.B 9445.JPG,tomato,earlyblight,1
datasets\BellPepper_BacterialSpot\b27e9697-adcc-41bb-becb-7bc34bbf3cee___JR_B.Spot 3264.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_BacterialSpot\cc9a53f1-2279-4427-88e5-559c3975a7c4___NREC_B.Spot 1833.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\5af94784-1208-4c66-b95d-5743128bde63___JR_HL 7711.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\89ecd925-23ef-4bfe-8c55-cad05161aca2___GH_HL Leaf 236.1.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\a7ae874f-138c-4996-949b-f6ba3d4bc1b0___NREC_B.Spot 1959.JPG,bellpepper,bacterialspot,1
datasets\Tomato_EarlyBlight\546af1f7-3d4f-4024-88b1-f981fea7f2dd___RS_Erly.B 9455.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\d73e8a23-5eac-4278-92f1-275bb49bec57___JR_HL 8286.JPG,bellpepper,healthy,0
datasets\Potato_EarlyBlight\1367d3e9-74fe-4d61-ab24-dd389dcb5d54___RS_Early.B 8011.JPG,potato,earlyblight,1
datasets\Tomato_Healthy\806a1f93-1b9f-4860-91e1-9aff2d68c494___RS_HL 0468.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\7b174b14-e48d-4448-a62a-cce6a6ae96f3___NREC_B.Spot 9187.JPG,bellpepper,bacterialspot,1
datasets\Tomato_EarlyBlight\3b3193c5-e717-4b40-b450-7ee5c6e22d1a___RS_Erly.B 9382.JPG,tomato,earlyblight,1
datasets\Tomato_EarlyBlight\4a352896-5a0f-4e42-aba1-f06045d5b531___RS_Erly.B 7765.JPG,tomato,earlyblight,1
datasets\BellPepper_BacterialSpot\e348be18-797b-48ab-856a-3e58bde6c874___JR_B.Spot 3229.JPG,bellpepper,bacterialspot,1
datasets\Tomato_EarlyBlight\c2369b01-d04f-443c-b6ab-9e62e1480420___RS_Erly.B 8397.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\0372686b-04b2-4a25-98da-5801747fa1af___RS_HL 0391.JPG,tomato,healthy,0
datasets\Potato_EarlyBlight\29f79006-adf2-4d71-a6a8-bfc02c020b71___RS_Early.B 6833.JPG,potato,earlyblight,1
datasets\Tomato_Healthy\1d024f2a-0ceb-4560-81fc-1114e6341f02___RS_HL 0431.JPG,tomato,healthy,0
datasets\Tomato_Healthy\0b330273-890c-4995-af72-cba070fc0061___GH_HL Leaf 312.JPG,tomato,healthy,0
datasets\Tomato_EarlyBlight\49c8f57f-3418-45db-b807-6192c20dfc6a___RS_Erly.B 7784.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\58f9bf4b-a4c3-4d1f-bef0-f7a1fbc14f26___JR_HL 8330.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\615f1ae8-e24a-467c-93eb-c4dd352e3f50___JR_HL 7767.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\3a5a5775-fd2c-43ea-ad6b-ce2e50b36dcf___RS_Erly.B 6469.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\885b1f2e-0a3e-4fe1-88b0-7e20b229bf00___JR_HL 5828.JPG,bellpepper,healthy,0
datasets\Potato_EarlyBlight\096a2c48-104c-4570-9e34-8dd60aa5ebcf___RS_Early.B 6979.JPG,potato,earlyblight,1
datasets\BellPepper_Healthy\89c4dbbc-4d4c-4074-9eaa-c4f8beafeb14___JR_HL 7796.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\1d46d97c-17ae-41e2-9ac3-6a984804760e___JR_B.Spot 8825.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\763f79d6-2b20-479c-9237-8b69c60482fe___JR_HL 5968.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\1dae303e-6545-4c87-8c95-8805108f5282___RS_HL 0437.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\4785ba47-66fe-42fd-8c51-678b54b23e9d___JR_HL 8495.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\495559bd-76e2-4c7a-935c-3ca1b4cf4b7b___GH_HL Leaf 180.1.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\ea84c71c-2ed3-44d2-9577-6e08131d6c6d___JR_HL 8200.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\ccf9bac1-454d-4e0e-b109-7236f285d8a2___JR_HL 8834.JPG,bellpepper,healthy,0
datasets\Potato_EarlyBlight\2a4fd894-0c4f-471b-b80b-d362a7b513f4___RS_Early.B 8038.JPG,potato,earlyblight,1
datasets\BellPepper_Healthy\0e526c7b-72ee-4547-916b-5cba013097b6___JR_HL 7735.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\7c95b0e8-b8df-4312-aca8-51d4731e7c1e___JR_HL 8899.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\fec718e1-5498-4c71-802a-d4689ebd69cc___JR_HL 8230.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\76b0d46d-8e2b-463b-8cba-eaeee6dc1851___RS_Erly.B 9527.JPG,tomato,earlyblight,1
datasets\Tomato_EarlyBlight\b4d37218-1f10-4232-8eeb-dd4106f0f1af___RS_Erly.B 7702.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\65cb29a7-d70b-4e0d-a6c6-812a28232243___JR_HL 8879.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\dc7bc940-f9ee-48ae-82da-3e8921e8b298___JR_HL 5831.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\59fbd532-f75e-4c09-be68-3707d1323868___RS_Erly.B 7863.JPG,tomato,earlyblight,1
datasets\BellPepper_BacterialSpot\bfc55b79-3f3b-4884-b5ec-b66c02b9cabb___JR_B.Spot 3260.JPG,bellpepper,bacterialspot,1
datasets\Potato_EarlyBlight\3ef2279b-2fda-463a-b007-e2a93ff977f0___RS_Early.B 7235.JPG,potato,earlyblight,1
datasets\Tomato_EarlyBlight\9498ce3a-8dc1-43ec-aeec-a05825cf9af2___RS_Erly.B 7820.JPG,tomato,earlyblight,1
datasets\BellPepper_BacterialSpot\41410a16-32af-4080-92a7-fd2869d5b48d___JR_B.Spot 9085.JPG,bellpepper,bacterialspot,1
datasets\Potato_EarlyBlight\41cc6e70-9745-413d-b13d-c4775bcdfa7c___RS_Early.B 7610.JPG,potato,earlyblight,1
datasets\BellPepper_BacterialSpot\c6fce723-0700-4184-9444-b570dd4263f5___NREC_B.Spot 1837.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\32de8c50-e831-456a-b46b-352a58c129cc___RS_HL 0007.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\32f0cd4f-3786-4fc6-84e0-4ffb72e96741___JR_HL 8155.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\9080624e-b5eb-456b-9743-2406cdd01113___RS_Erly.B 9618.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\3b0d89df-61d0-407f-9a26-661c8bb730cf___GH_HL Leaf 242.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\c8ea8547-4f93-4bf9-af69-79f09697e817___JR_B.Spot 3152.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\592b2a4c-326c-4fe3-a658-c4b97bd6c783___JR_HL 8217.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\aa2fb7e9-0695-4868-9f85-bd0e912fee30___JR_HL 8762.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\2b8306e4-7898-4f27-b659-b0061c4c3832___RS_HL 0440.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\647d9500-2864-4b98-bbd2-b4ac4b42abbf___JR_HL 7917.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\01ebc916-4793-40a3-b5e4-a32687e4fa3d___NREC_B.Spot 9125.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\3f257cf2-a8ad-4a82-8114-2d70fbdcbed9___JR_HL 8181.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\17737361-6967-452a-ac5d-efebaa1d8a35___NREC_B.Spot 9127.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\4e88356d-0238-4f3c-b718-34bddc184407___RS_HL 0136.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\0b27c03f-b3bc-4d96-9b76-6fbd779404b9___NREC_B.Spot 1799.JPG,bellpepper,bacterialspot,1
datasets\Potato_EarlyBlight\07baabd8-e118-47dd-9d8d-132d4347836a___RS_Early.B 8555.JPG,potato,earlyblight,1
datasets\Potato_EarlyBlight\36548ca6-33b3-4a74-9b2a-52eba7aee9a3___RS_Early.B 9205.JPG,potato,earlyblight,1
datasets\Tomato_EarlyBlight\7828bbde-4f60-441e-be89-6cedd12f1c1c___RS_Erly.B 7830.JPG,tomato,earlyblight,1
datasets\BellPepper_BacterialSpot\42ec2c4f-8cb7-47b2-ba27-0950b0b18395___NREC_B.Spot 9143.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\d2e09fdd-8ee6-4cd1-8bd4-16124dc16962___JR_HL 7918.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\e33a35bb-e830-470d-be7e-f21b136ab6bf___JR_HL 5894.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\35390f28-2e9e-4f2c-b84e-cc1a7ad55fa8___JR_HL 8708.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\3b86d42f-4b22-4bfe-bfa9-ec4567c886dc___RS_Erly.B 7823.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\2fb5c266-b7ec-4b31-91b4-3f2dc9b0cdcb___RS_HL 0147.JPG,tomato,healthy,0
datasets\Tomato_Healthy\416458ca-7db6-4383-ae0b-21ae2860af1b___RS_HL 0535.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\7fb9aaff-6871-44f7-8957-e0c05fee5e2d___NREC_B.Spot 9140.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\89d1eade-c42d-410d-a9c3-d37ad7bb60c6___RS_HL 9679.JPG,tomato,healthy,0
datasets\Tomato_Healthy\59a8b3a3-7e21-4322-befc-0d3da471bd67___GH_HL Leaf 403.1.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\eaff2763-f80a-495c-b4b8-15ad0fdbe3bb___JR_HL 8100.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\a4c22e06-9422-4ea8-8fe2-4cb1f00dd01d___JR_HL 7844.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\3949ee17-d163-4713-bcaa-523e87cd3871___JR_HL 8109.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\d6e06adc-15b1-4513-97b7-7e7b3920824f___JR_HL 8258.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\1e8c2c4d-e787-45ff-87ac-56484ac8d3d4___GH_HL Leaf 472.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\6a3603ae-fc95-48ee-968f-2afcca4a1a6a___JR_HL 7979.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\2c13c040-2ce6-47c5-899c-8146cd774f79___NREC_B.Spot 1976.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_BacterialSpot\ecb08896-f188-47f5-88c4-81a32a103fb0___NREC_B.Spot 9135.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\f3e7e5bc-bcdc-4dc8-a6cf-86a42df59c7f___JR_HL 7799.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\8734e1ef-fb0c-4cdd-aa97-b5a4ea8d6cf5___RS_Erly.B 7804.JPG,tomato,earlyblight,1
datasets\Tomato_EarlyBlight\e9e56650-8172-4a98-8100-72e79a3a5858___RS_Erly.B 7481.JPG,tomato,earlyblight,1
datasets\BellPepper_BacterialSpot\1732db7e-9901-46df-b20e-3ca49ff1dbad___NREC_B.Spot 1791.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\91b86c29-60fb-4383-8bc3-8e06cb5519f2___RS_HL 0283.JPG,tomato,healthy,0
datasets\Tomato_Healthy\739d1e6a-f835-4ff4-ab1c-33946def661a___GH_HL Leaf 219.JPG,tomato,healthy,0
datasets\Tomato_Healthy\2a8f7c7a-fbd4-4669-90eb-61ee118db2a7___RS_HL 0126.JPG,tomato,healthy,0
datasets\Tomato_Healthy\6200ddc6-ea83-42e0-9936-4f82cfa14a1f___RS_HL 9976.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\db4bdb10-130e-4705-bcf9-b3e9a38d1869___JR_HL 8318.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\21f7119e-d926-4be3-9ace-d6b26b280e64___JR_B.Spot 8837.JPG,bellpepper,bacterialspot,1
datasets\Tomato_EarlyBlight\ab1f0275-f2db-4dcf-befb-8921c6101b80___RS_Erly.B 7596.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\90e840e0-3b8c-4100-8340-ef0ed67e5972___JR_HL 8367.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\3355f3b6-7d93-4409-9e6f-6344b660e70f___JR_HL 8349.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\5373b361-a0ee-477a-b8e9-f889d062ac1c___JR_B.Spot 3209.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\322bea7e-a6c3-4c86-99f5-76c2225243cc___JR_HL 5929.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\b5c94157-7110-420f-99fc-040594d6ff12___RS_Erly.B 9474.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\29d9f827-5e61-4b9b-acba-db0e7ce2016d___GH_HL Leaf 480.JPG,tomato,healthy,0
datasets\Tomato_EarlyBlight\cd2d8a7b-2389-4a2c-8647-b986092fa506___RS_Erly.B 8377.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\c488f861-d42c-4527-846d-1e352fbd72a3___JR_HL 5895.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\0f0fc0ee-b19b-4f90-ab41-8f693131f57d___RS_HL 9890.JPG,tomato,healthy,0
datasets\Tomato_Healthy\1f763a4e-3f17-44c1-be1b-a8752d2b93a1___RS_HL 9830.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\d17a8519-e2c2-4589-afdb-592063af49cf___JR_HL 8369.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\6e1abdb8-4020-48c9-9488-2d320e8d5a4d___RS_HL 0168.JPG,tomato,healthy,0
datasets\Tomato_Healthy\2ea87b73-a52b-4a4c-938f-4ce06335d171___GH_HL Leaf 177.1.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\3b3fcf17-b337-4548-b27f-f2b501c035c0___NREC_B.Spot 1942.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\9a477ad1-c362-4a16-baa0-5282e592f12a___JR_HL 7791.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\0eeb924f-88db-44e6-a278-e016fa2d25a4___JR_HL 8016.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\7e48d50d-d877-4b5d-9aad-6a451e0ba067___JR_HL 8103.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\3b58322b-64c3-4354-8612-93a6f50a096e___JR_B.Spot 3291.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\9e17a7df-6284-467f-b223-33b0d06d0a81___JR_HL 5973.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\6bdcf245-2e3f-4732-bcef-73e7eecd4c31___JR_HL 8563.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\66b194fd-6db3-453c-b851-e82862db9c24___RS_HL 0019.JPG,tomato,healthy,0
datasets\Tomato_EarlyBlight\48749ece-911d-440f-873d-475e58132969___RS_Erly.B 7479.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\bb0ce43c-537e-4545-9146-bb3e03fe7a32___JR_HL 5957.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\ff55573a-3ae9-4c76-957b-6b3e2665f4a3___JR_HL 8701.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\e3e8305e-a7f1-4ac2-9ed0-7a09660b2fa3___RS_Erly.B 9447.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\6a800f5d-f218-4c0b-b78b-7cedcc70a3aa___GH_HL Leaf 337.1.JPG,tomato,healthy,0
datasets\Tomato_EarlyBlight\9e8f1cbd-f128-47f3-b90d-9c8dc1efcb78___RS_Erly.B 7425.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\6c8f7323-5d71-44d3-8d30-825f91de854a___JR_HL 7577.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\301b41f3-647f-4bd2-9adb-ef98c8b8c238___JR_B.Spot 3399.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\5876e77a-8598-418c-bae2-b7492c8e46bd___RS_HL 9859.JPG,tomato,healthy,0
